,Park Name,Cause of Death,DeathCategory,Intent,Outcome,Sex,Age Range,Activity,date,latlong,latitude,longitude,Weather
1048,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2013-08-13,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1049,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2013-08-14,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
1050,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing,2013-08-15,"40.3553915,-105.71769566830672",40.3553915,-105.71769566830672,
1051,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported,2013-08-16,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
1052,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2013-08-18,"41.6752532,-75.05523065122534",41.6752532,-75.05523065122534,
1053,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving ,2013-08-18,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
1054,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing,2013-08-22,"40.3553915,-105.71769566830672",40.3553915,-105.71769566830672,
1055,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2013-08-22,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1056,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported,2013-08-25,"32.0081745,-112.87518369742682",32.0081745,-112.87518369742682,
1057,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Hiking,2013-08-27,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
1058,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related,2013-08-29,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1059,Haleakala National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming,2013-08-30,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
1060,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving ,2013-08-31,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
1061,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Hiking,2013-09-01,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
1062,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2013-09-02,"38.9904203,-77.25182914857218",38.9904203,-77.25182914857218,
1063,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Hiking,2013-09-02,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
1064,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Female,45-54,Hiking,2013-09-05,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
1065,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Female,45-54,Not Reported,2013-09-05,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1066,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming,2013-09-06,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
1067,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Female,45-54,Canyoneering,2013-09-06,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
1068,Yellowstone National Park,Firearm,Other,Unintentional,Fatal injury,Female,0-14,Playing Sports,2013-09-07,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
1069,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Swimming,2013-09-08,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1070,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing,2013-09-08,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
1071,Colorado National Monument,Fall,Fall,Unintentional,Fatal injury,Female,Not Reported,Not Reported,2013-09-08,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
1072,Colorado National Monument,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported,2013-09-09,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
1073,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,55-64,Not Reported,2013-09-09,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1074,Grand Teton National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,Not Reported,Flying,2013-09-11,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
1075,Grand Teton National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Female,Not Reported,Flying,2013-09-11,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
1076,Blue Ridge Parkway,Fall,Fall,Unintentional,Fatal injury,Female,0-14,Climbing,2013-09-15,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1077,North Cascades National Park,Rockfall,Environmental,Unintentional,Fatal injury,Not Reported,25-34,Climbing,2013-09-15,"48.80834845,-121.40621496202702",48.80834845,-121.40621496202702,
1078,Colorado National Monument,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported,2013-09-18,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
1079,Craters Of The Moon National Monument & Preserve,Hypothermia,Environmental,Unintentional,Fatal injury,Female,55-64,Hiking,2013-09-19,"43.4050421,-113.50608382871795",43.4050421,-113.50608382871796,
1080,Craters Of The Moon National Monument & Preserve,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Hiking,2013-09-19,"43.4050421,-113.50608382871795",43.4050421,-113.50608382871796,
1081,Crater Lake National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Female,55-64,Hiking,2013-09-19,"42.931692,-122.12783655607095",42.931692,-122.12783655607096,
1082,Crater Lake National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Hiking,2013-09-19,"42.931692,-122.12783655607095",42.931692,-122.12783655607096,
1083,Colorado National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving ,2013-09-19,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
1084,Lake Mead National Recreation Area,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Female,45-54,Vessel Related,2013-09-21,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1085,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2013-09-22,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1086,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving ,2013-09-25,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1087,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Not Reported,2013-09-26,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
1088,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Female,65+,Not Reported,2013-09-26,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1089,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Not Reported,2013-09-30,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1090,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving ,2013-09-30,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1091,National Mall & Memorial Parks,Fire/Burn,Other,Unintentional,Fatal injury,Male,Not Reported,Not Reported,2013-10-04,"38.8854281,-77.0414734922376",38.8854281,-77.0414734922376,
1092,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Walking,2013-10-09,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1093,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2013-10-11,"38.9634363,-77.1785451",38.9634363,-77.1785451,
1094,Rocky Mountain National Park,Poisoning - Carbon monoxide,Poisoning,Unintentional,Fatal injury,Male,45-54,Camping,2013-10-21,"40.3553915,-105.71769566830672",40.3553915,-105.71769566830672,
1095,Cape Cod National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Swimming,2013-11-03,"41.842563150000004,-69.95218307243829",41.84256315,-69.95218307243829,
1096,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Female,25-34,Not Reported,2013-11-07,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1097,Pictured Rocks National Lakeshore,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing,2013-11-11,"46.484513050000004,-86.47746589261922",46.48451305,-86.47746589261922,
1098,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving ,2013-11-18,"32.0071549,-90.8585141",32.0071549,-90.8585141,
1099,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,65+,Driving ,2013-11-18,"32.0071549,-90.8585141",32.0071549,-90.8585141,
1100,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related,2013-11-25,"37.8756699,-81.0775981",37.8756699,-81.0775981,
1101,Baltimore-Washington Parkway,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported,2013-12-03,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1102,Chattahoochee River National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported,2013-12-04,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1103,Blue Ridge Parkway,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Driving ,2013-12-05,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1104,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2013-12-08,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1105,National Mall & Memorial Parks,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported,2013-12-10,"38.8854281,-77.0414734922376",38.8854281,-77.0414734922376,
1106,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2013-12-12,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1107,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2013-12-12,"38.9269178,-76.9281543",38.9269178,-76.9281543,
1108,Lake Roosevelt National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported,2013-12-15,"48.331587049999996,-118.17131269924732",48.33158705,-118.17131269924732,
1109,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving ,2013-12-19,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
1110,Anacostia Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported,2013-12-25,"38.8733578,-76.9834023",38.8733578,-76.9834023,
1111,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported,2013-12-28,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1112,National Mall & Memorial Parks,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported,2013-12-29,"38.8854281,-77.0414734922376",38.8854281,-77.0414734922376,
1113,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide,2014-01-02,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1114,Rocky Mountain National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-01-07,"40.3553915,-105.71769566830672",40.3553915,-105.71769566830672,
1115,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,35-44,Suicide,2014-01-08,"40.598478850000006,-73.85792711726249",40.598478850000006,-73.85792711726249,
1116,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,35-44,Suicide,2014-01-10,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1117,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other,2014-01-11,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1118,Fort Foote Park,Drowning,Drowning,Unintentional,Fatal Injury,Female,45-54,Not Reported,2014-01-12,"38.7697917,-77.02834209036111",38.7697917,-77.02834209036111,
1119,Acadia National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide,2014-01-14,"44.356311500000004,-68.21547874304889",44.3563115,-68.21547874304889,
1120,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving ,2014-01-17,"36.4702428,-117.08839086763231",36.4702428,-117.08839086763231,
1121,Joshua Tree National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide,2014-01-17,"33.89706715,-115.95111578868344",33.89706715,-115.95111578868344,
1122,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Fishing,2014-01-21,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
1123,Colorado National Monument,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide,2014-01-22,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
1124,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Base jumping,2014-01-24,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1125,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide,2014-01-24,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1126,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Walking,2014-01-25,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1127,Big Cypress National Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving ,2014-01-25,"25.936121550000003,-81.09512708130643",25.936121550000003,-81.09512708130643,
1128,Grand Canyon National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,15-24,Driving ,2014-01-31,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1129,Buffalo National River,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving ,2014-02-02,"36.040131,-93.30984129466174",36.040131,-93.30984129466174,
1130,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other,2014-02-06,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1131,Zion National Park,Fall,Fall,Unintentional,Fatal Injury,Female,25-34,Base jumping,2014-02-08,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
1132,Presidio of San Francisco,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-02-11,"37.798745600000004,-122.46458892410745",37.7987456,-122.46458892410745,
1133,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-02-13,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1134,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,25-34,Other,2014-02-15,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1135,Great Smoky Mountains National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Driving ,2014-02-16,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
1136,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide,2014-02-16,"32.0071549,-90.8585141",32.0071549,-90.8585141,
1137,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,55-64,Other,2014-02-17,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1138,Gulf Islands National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,Not Reported,Suicide,2014-02-17,"30.2369736,-88.68042953504445",30.2369736,-88.68042953504445,
1139,Piscataway Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide,2014-02-19,"38.6787275,-77.0927558",38.6787275,-77.0927558,
1140,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Vessel Related,2014-02-20,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
1141,Point Reyes National Seashore,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,45-54,Other,2014-02-22,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
1142,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,35-44,Bicycling,2014-02-26,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
1143,Chattahoochee River National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,55-64,Not Reported,2014-03-03,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1144,Chesapeake & Ohio Canal National Historical Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Walking,2014-03-08,"36.7168315,-76.2494453",36.7168315,-76.2494453,
1145,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Driving ,2014-03-09,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1146,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,25-34,Suicide,2014-03-11,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1147,National Mall & Memorial Parks,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sleeping,2014-03-13,"38.8854281,-77.0414734922376",38.8854281,-77.0414734922376,
1148,Rock Creek Park,Suicide,Suicide,Intentional,Fatal Injury,Female,45-54,Suicide,2014-03-13,"38.702307,-104.8390017",38.702307,-104.8390017,
1149,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Photographing,2014-03-15,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1150,Glen Canyon National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,65+,Not Reported,2014-03-15,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
1151,Yosemite National Park,Skateboard Incident,Other Transportation,Unintentional,Fatal Injury,Female,15-24,Skateboarding,2014-03-16,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
1152,Grand Canyon National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide,2014-03-17,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1153,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Vessel Related,2014-03-18,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1154,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,0-14,Hiking,2014-03-22,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
1155,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving ,2014-03-22,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1156,Assateague Island National Seashore,Skateboard Incident,Other Transportation,Unintentional,Fatal Injury,Male,15-24,Skateboarding,2014-03-22,"38.14859785,-75.18583328346526",38.14859785,-75.18583328346526,
1157,Yosemite National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming,2014-03-23,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
1158,Zion National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Base jumping,2014-03-23,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
1159,Delaware Water Gap National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide,2014-03-25,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
1160,Valley Forge National Historical Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-03-28,"40.1006378,-75.44443767012535",40.1006378,-75.44443767012535,
1161,Joshua Tree National Park,Fall,Fall,Unintentional,Fatal Injury,Female,35-44,Climbing,2014-03-29,"33.89706715,-115.95111578868344",33.89706715,-115.95111578868344,
1162,San Francisco Maritime National Historical Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,Not Reported,Not Reported,2014-03-30,"37.8065013,-122.4233939",37.8065013,-122.4233939,
1163,Kenilworth Park & Aquatic Gardens,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported,2014-03-31,"38.24187925,-122.6315193980019",38.24187925,-122.6315193980019,
1164,Point Reyes National Seashore,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving ,2014-04-01,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
1165,Gulf Islands National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide,2014-04-01,"30.2369736,-88.68042953504445",30.2369736,-88.68042953504445,
1166,Blue Ridge Parkway,Bicycle only crash,Other Transportation,Unintentional,Fatal Injury,Male,45-54,Bicycling,2014-04-02,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
1167,Whiskeytown National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,35-44,Suicide,2014-04-02,"40.8272999,-122.32621187881867",40.8272999,-122.32621187881868,
1168,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,0-14,Vessel Related,2014-04-05,"34.459272799999994,-97.00878489247835",34.459272799999994,-97.00878489247836,
1169,National Mall & Memorial Parks,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Female,65+,Not Reported,2014-04-05,"38.8854281,-77.0414734922376",38.8854281,-77.0414734922376,
1170,Joshua Tree National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving ,2014-04-06,"33.89706715,-115.95111578868344",33.89706715,-115.95111578868344,
1171,Joshua Tree National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving ,2014-04-06,"33.89706715,-115.95111578868344",33.89706715,-115.95111578868344,
1172,Presidio of San Francisco,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other,2014-04-07,"37.798745600000004,-122.46458892410745",37.7987456,-122.46458892410745,
1173,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-04-10,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1174,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving ,2014-04-11,"38.9634363,-77.1785451",38.9634363,-77.1785451,
1175,Yosemite National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide,2014-04-12,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
1176,Assateague Island National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide,2014-04-15,"38.14859785,-75.18583328346526",38.14859785,-75.18583328346526,
1177,Golden Gate National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,45-54,Not Reported,2014-04-17,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1178,Virgin Islands National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Snorkeling,2014-04-19,"18.336883049999997,-64.740011839034",18.33688305,-64.740011839034,
1179,Chesapeake & Ohio Canal National Historical Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Bicycling,2014-04-22,"36.7168315,-76.2494453",36.7168315,-76.2494453,
1180,Yosemite National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-04-22,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
1181,Glen Canyon National Recreation Area,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,45-54,Other,2014-04-22,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
1182,Canaveral National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Fishing,2014-04-23,"28.888210800000003,-80.82051123947215",28.888210800000003,-80.82051123947215,
1183,Mojave National Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving ,2014-04-23,"35.095867150000004,-115.53965353405067",35.095867150000004,-115.53965353405069,
1184,Badlands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,15-24,Driving ,2014-04-24,"43.52710585,-102.36166289567404",43.52710585,-102.36166289567404,
1185,Chattahoochee River National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide,2014-04-24,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1186,Capitol Reef National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking,2014-04-26,"38.06702855,-111.15525624854631",38.06702855,-111.15525624854632,
1187,Grand Canyon National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,45-54,Suicide,2014-04-28,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
1188,Great Smoky Mountains National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other,2014-04-30,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
1189,Kaloko-Honokohau National Historical Park,Drowning,Drowning,Unintentional,Fatal Injury,Female,65+,Snorkeling,2014-05-01,"19.68182065,-156.02708802660652",19.68182065,-156.02708802660652,
1190,Buffalo National River,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Vessel Related,2014-05-02,"36.040131,-93.30984129466174",36.040131,-93.30984129466174,
1191,Presidio of San Francisco,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,Not Reported,Not Reported,2014-05-03,"37.798745600000004,-122.46458892410745",37.7987456,-122.46458892410745,
1192,Chattahoochee River National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,55-64,Suicide,2014-05-03,"34.1423643,-84.08605094224774",34.1423643,-84.08605094224774,
1193,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Not Reported,2014-05-04,"37.8499275,-122.5177518",37.8499275,-122.5177518,
1194,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal Injury,Female,35-44,Climbing,2014-05-05,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
